Pct BF,Height,Waist,Chest
21.5,70.75,33.03,35.43
13.8,71.5,34.09,37.56
6.3,69.25,30.87,35.16
12.9,71.5,33.31,37.17
24.3,71.5,36.02,38.43
8.8,68.75,32.6,34.84
8.5,73.75,32.64,36.85
13.5,64,29.92,34.53
11.8,65.75,32.8,36.77
18.5,67.5,32.2,36.06
8.8,69.5,31.02,36.06
22.2,68.5,37.4,40.16
21.5,70.25,37.56,37.95
18.8,69.25,38.82,40.43
31.4,67.75,37.72,38.46
26.8,67.25,35.04,38.23
18.4,72.75,38.5,40.59
27,70,37.36,40.08
27,69.25,39.29,39.92
26.6,67.5,35.31,38.94
14.9,67.25,34.69,38.39
23.1,65.75,35.79,41.06
8.3,72.5,33.86,38.31
14.1,73,34.06,38.07
20.5,70,37.64,39.25
18.2,69.5,36.69,40.12
8.5,70.5,32.72,38.27
24.9,71.75,38.39,41.97
9,74.5,34.96,39.21
17.4,77.75,39.06,44.57
9.6,73.25,36.06,39.02
11.3,66.5,34.13,39.13
17.8,68.25,34.72,37.44
22.2,72,37.01,42.32
21.2,73.5,37.4,41.93
20.4,72,36.22,39.02
20.1,71.25,35.12,38.07
22.3,73.75,37.6,40.75
25.4,69.25,38.82,40.94
18,68.5,34.37,36.65
19.3,73.5,40.47,41.42
18.3,74.25,40,43.31
17.3,75.5,34.92,43.35
21.4,69.25,36.34,38.5
19.7,68.5,35.67,37.91
28,70,41.34,42.52
22.1,70,37.4,39.25
21.3,70.25,35.28,36.81
26.7,71.75,36.38,39.65
16.7,69.25,34.09,38.19
20.1,72.75,35.43,37.8
13.9,72,35.43,39.06
25.8,74,36.38,37.56
18.1,72.25,34.45,40.08
27.9,74.5,39.06,41.06
25.3,71.5,38.62,39.06
14.7,68.75,32.8,39.09
16,66.75,33.9,37.01
13.8,66.5,33.11,38.94
17.5,67,35.39,39.76
27.2,68.75,36.26,38.86
17.4,67.75,30.71,37.76
20.8,73.25,36.81,40.91
14.9,69.75,34.25,37.87
18.1,71.5,35.47,38.5
22.7,70.5,35.55,37.24
23.6,73.25,39.29,40.79
26.1,66.75,35.2,39.53
24.4,69.5,34.33,38.74
27.1,69.75,39.8,41.18
21.8,70.75,33.9,36.57
29.4,74,38.82,38.5
22.4,71.25,34.84,38.7
20.4,75,41.97,41.22
24.9,71,36.65,38.82
18.3,69.5,36.61,39.17
23.3,67.75,35.83,40.43
9.4,72.25,30.35,36.26
10.3,77.5,33.58,38.03
14.2,70.75,32.24,36.5
19.2,72.75,39.02,40.16
29.6,69.75,39.57,43.66
5.3,72.5,30.12,36.34
25.2,70.25,42.05,44.92
9.4,69,30.55,36.57
19.6,74.5,40.51,42.64
10.1,72.25,28.66,34.84
16.5,67.25,34.72,37.01
21,73.5,39.41,39.8
17.3,75.25,32.87,36.26
31.2,69,41.34,41.57
10,72.25,35.75,38.78
12.5,68.75,30.16,34.92
22.5,71.5,36.38,39.8
9.4,72.25,31.97,37.01
14.6,73,37.64,40.87
13,68.75,36.26,38.94
15.1,70.5,32.83,35.12
27.3,72,41.73,43.86
19.2,73.75,37.44,42.32
21.8,68,35.59,39.02
20.3,72.25,39.53,42.6
34.3,69.5,45.63,45.24
16.5,69.5,35.75,39.02
3,67.75,32.24,36.3
0.7,65.5,29.53,35.75
20.5,71,35.55,39.57
16.9,71.5,35.55,38.66
25.3,71.75,42.83,45.39
9.9,69.25,31.26,38.11
13.1,67,32.76,36.46
29.9,71.5,43.43,46.93
22.5,69.25,36.5,40.43
16.9,74.5,41.14,43.11
26.6,74.25,41.18,42.72
0,68,27.32,31.22
11.5,67.25,32.91,37.6
12.1,69.75,34.17,36.34
17.5,74.25,35.59,38.94
8.6,71.5,32.95,35.24
23.6,74.25,43.03,46.26
20.4,72,38.94,42.28
20.5,72.5,38.58,42.99
24.4,68.25,39.84,40.71
11.4,69.25,31.73,35.98
38.1,76,44.76,45.35
15.9,70.5,37.05,41.3
24.7,74.75,41.61,42.01
22.8,72.75,33.7,36.3
25.5,68.25,38.03,40
22,69,33.86,38.5
17.7,71.5,35.31,36.22
6.6,72.75,30.71,37.01
23.6,67.5,35.31,40.83
12.2,70.25,35.12,40.43
22.1,69.25,33.74,35.87
28.7,71.5,40.59,42.2
6,74,35.08,39.69
34.8,69.75,44.84,47.87
16.6,73,37.91,41.57
32.9,65.5,36.97,39.61
32.8,72.5,39.88,40.43
9.6,70.25,33.03,39.29
10.8,70.75,33.23,36.57
7.1,68,31.26,35.91
27.2,74.5,40.94,45.51
19.5,71.75,35.31,38.7
18.7,70.75,38.43,40.83
19.5,73,34.49,38.86
47.5,64,48.07,47.17
13.6,69.75,31.93,36.54
7.5,70,32.09,36.73
24.5,71.75,39.37,42.05
15,69.25,34.92,36.97
12.4,70.5,36.14,38.98
26,72.25,43.46,47.2
11.5,67.5,34.49,37.09
5.2,67.25,32.6,36.5
10.9,68.75,37.52,42.09
12.5,66.75,30.79,34.96
14.8,68.25,35.87,40.04
25.2,74.25,38.07,41.46
14.9,69.5,35.2,40.94
17,68.5,36.61,38.82
10.6,65.75,34.02,39.21
16.1,71.75,38.07,40.71
15.4,71.5,34.69,39.45
26.7,67.25,37.36,37.36
25.8,67.5,36.73,38.27
18.6,67.5,37.64,41.22
24.8,72.25,38.66,40.94
27.3,69.5,44.8,46.3
12.4,69.5,32.6,37.72
29.9,65.75,39.57,41.89
17,65.75,31.38,36.61
35,68.25,46.46,47.09
30.4,72,42.91,47.13
32.6,72.75,44.65,45.59
29,68.5,41.77,46.57
15.2,69.25,33.19,38.35
30.2,70.5,42.36,44.76
11,67,32.91,35.12
33.6,69.75,41.34,42.72
29.3,66,43.9,43.74
26,70.5,39.88,42.64
31.9,70,42.72,44.25
